Unnamed: 0,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
0,The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹169.00,4.4,19923.0,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318054031_d_sccl_1/000-0000000-0000000?psc=1
1,"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹99.00,4.5,7686.0,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_1318054031_d_sccl_2/000-0000000-0000000?psc=1
2,The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹175.75,4.6,50016.0,https://www.amazon.in/Kite-Runner-Khaled-Hosseini-ebook/dp/B00B0CR0O6/ref=zg_bs_g_1318054031_d_sccl_3/000-0000000-0000000?psc=1
3,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹389.00,4.6,32040.0,https://www.amazon.in/Greenlights-Raucous-stories-Academy-Award-winning/dp/1472280873/ref=zg_bs_g_1318054031_d_sccl_4/000-0000000-0000000?psc=1
4,"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹348.16,4.5,1707.0,https://www.amazon.in/Science-Storytelling-Will-Storr/dp/0008276978/ref=zg_bs_g_1318054031_d_sccl_5/000-0000000-0000000?psc=1
5,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹313.95,4.5,15122.0,https://www.amazon.in/Fantastic-Beasts-Where-Find-Them-ebook/dp/B01ETJABRE/ref=zg_bs_g_1318054031_d_sccl_6/000-0000000-0000000?psc=1
6,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹313.95,4.6,10152.0,https://www.amazon.in/Fantastic-Beasts-Grindelwald-Original-Screenplay-ebook/dp/B07BL2VNNV/ref=zg_bs_g_1318054031_d_sccl_7/000-0000000-0000000?psc=1
7,Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹348.16,4.5,539.0,https://www.amazon.in/Desperately-Seeking-Shah-Rukh-Independence/dp/9356292140/ref=zg_bs_g_1318054031_d_sccl_8/000-0000000-0000000?psc=1
8,Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹850.00,4.5,7060.0,https://www.amazon.in/Save-Cat-Last-Screenwriting-Youll/dp/1932907009/ref=zg_bs_g_1318054031_d_sccl_9/000-0000000-0000000?psc=1
9,Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹644.52,4.5,3216.0,https://www.amazon.in/Screenplay-Foundations-Screenwriting-Syd-Field/dp/0385339038/ref=zg_bs_g_1318054031_d_sccl_10/000-0000000-0000000?psc=1
10,One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,₹892.00,4.2,10550.0,https://www.amazon.in/One-Day/dp/B079P515NK/ref=zg_bs_g_1318054031_d_sccl_11/000-0000000-0000000?psc=1
11,SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹361.00,4.4,1558.0,https://www.amazon.in/SACH-KAHUN-AUTOBIOGRAPHY-NEENA-GUPTA/dp/0670095273/ref=zg_bs_g_1318054031_d_sccl_12/000-0000000-0000000?psc=1
12,A PRINCESS REMEMBERS (PB),Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹572.00,4.5,719.0,https://www.amazon.in/Princess-Remembers-Maharani-Gayatri/dp/8171673074/ref=zg_bs_g_1318054031_d_sccl_13/000-0000000-0000000?psc=1
13,The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹479.00,4.6,2871.0,https://www.amazon.in/Anatomy-Story-Becoming-Master-Storyteller/dp/0865479933/ref=zg_bs_g_1318054031_d_sccl_14/000-0000000-0000000?psc=1
14,Studio Ghibli: The Complete Works,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹2,132.78",4.8,226.0,https://www.amazon.in/Studio-Ghibli-Complete-Works/dp/1647291496/ref=zg_bs_g_1318054031_d_sccl_15/000-0000000-0000000?psc=1
15,"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹2,612.00",4.7,2653.0,https://www.amazon.in/Story-Structure-Substance-Principles-Screenwriting/dp/0060391685/ref=zg_bs_g_1318054031_d_sccl_16/000-0000000-0000000?psc=1
